mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,79,57,(1;7;2),(0;0;5),40,140,140.0,30.0 + 40.0 + 30.0
2,1,target,57,57,(1;7;3),WS 1 (Port 1),70,190,190.0,30.0 + 50.0 + 30.0 + 10.0
3,0,return,57,57,WS 1 (Port 1),(0;0;4),198,268,268.0,30.0 + 10.0 + 30.0
4,2,target,59,59,(1;9;3),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
5,1,return,59,59,WS 1 (Port 2),(0;0;3),188,298,298.0,30.0 + 50.0 + 30.0
6,2,target,71,71,(2;10;2),WS 1 (Port 1),240,380,380.0,30.0 + 70.0 + 30.0 + 10.0
7,0,return,71,71,WS 1 (Port 1),(0;0;2),388,458,458.0,30.0 + 10.0 + 30.0
8,1,reshuffle,392,180,(4;9;1),(0;0;1),363,488,488.0,30.0 + 65.0 + 30.0
9,2,reshuffle,326,180,(4;9;2),(0;0;0),445,570,570.0,30.0 + 65.0 + 30.0
10,0,reshuffle,235,180,(4;9;3),(0;1;5),523,643,643.0,30.0 + 60.0 + 30.0
11,1,target,180,180,(4;9;4),WS 1 (Port 1),553,698,698.0,30.0 + 75.0 + 30.0 + 10.0
12,0,return,180,180,WS 1 (Port 1),(0;1;4),710,785,785.0,30.0 + 15.0 + 30.0
