mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,150,24,(1;4;0),(0;2;4),25,100,100.0,30.0 + 15.0 + 30.0
2,1,reshuffle,35,24,(1;4;1),(0;2;3),55,130,130.0,30.0 + 15.0 + 30.0
3,2,target,24,24,(1;4;2),WS 2 (Port 1),85,195,195.0,30.0 + 40.0 + 30.0 + 10.0
4,0,return,24,24,WS 2 (Port 1),(1;0;1),219,299,299.0,30.0 + 20.0 + 30.0
5,1,reshuffle,3,11,(2;5;2),(0;2;2),155,240,240.0,30.0 + 25.0 + 30.0
6,2,reshuffle,361,11,(2;5;3),(0;2;1),235,320,320.0,30.0 + 25.0 + 30.0
7,1,reshuffle,42,11,(2;5;4),(0;2;0),265,350,350.0,30.0 + 25.0 + 30.0
8,0,target,11,11,(2;5;5),WS 1 (Port 1),329,444,444.0,30.0 + 45.0 + 30.0 + 10.0
9,0,return,11,11,WS 1 (Port 1),(1;0;0),446,521,521.0,30.0 + 15.0 + 30.0
10,2,reshuffle,87,10,(4;3;0),(0;3;2),345,425,425.0,30.0 + 20.0 + 30.0
11,1,reshuffle,204,10,(4;3;1),(0;3;1),375,455,455.0,30.0 + 20.0 + 30.0
12,2,reshuffle,197,10,(4;3;2),(0;3;0),445,525,525.0,30.0 + 20.0 + 30.0
13,1,reshuffle,80,10,(4;3;3),(0;6;6),475,570,570.0,30.0 + 35.0 + 30.0
14,2,reshuffle,253,10,(4;3;4),(0;6;5),545,640,640.0,30.0 + 35.0 + 30.0
15,0,reshuffle,113,10,(4;3;5),(0;6;4),575,670,670.0,30.0 + 35.0 + 30.0
16,1,target,10,10,(4;3;6),WS 1 (Port 1),605,720,720.0,30.0 + 45.0 + 30.0 + 10.0
17,0,return,10,10,WS 1 (Port 1),(1;1;2),744,824,824.0,30.0 + 20.0 + 30.0
