mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,27,27,(2;5;1),WS 2 (Port 1),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,27,27,WS 2 (Port 1),(0;0;7),173,248,248.0,30.0 + 15.0 + 30.0
3,1,reshuffle,31,119,(2;1;1),(0;0;6),15,278,278.0,30.0 + 203.0 + 30.0
4,2,reshuffle,53,119,(2;1;2),(0;0;5),45,308,308.0,30.0 + 203.0 + 30.0
5,0,reshuffle,75,119,(2;1;3),(0;0;4),263,338,338.0,30.0 + 15.0 + 30.0
6,1,reshuffle,97,119,(2;1;4),(0;0;3),293,368,368.0,30.0 + 15.0 + 30.0
7,2,target,119,119,(2;1;5),WS 2 (Port 1),323,423,423.0,30.0 + 30.0 + 30.0 + 10.0
8,0,return,119,119,WS 2 (Port 1),(0;0;2),429,504,504.0,30.0 + 15.0 + 30.0
9,1,reshuffle,13,79,(1;8;1),(0;0;1),413,534,534.0,30.0 + 61.0 + 30.0
10,2,reshuffle,35,79,(1;8;2),(0;0;0),473,578,578.0,30.0 + 45.0 + 30.0
11,0,reshuffle,57,79,(1;8;3),(0;1;7),549,649,649.0,30.0 + 40.0 + 30.0
12,1,target,79,79,(1;8;4),WS 1 (Port 1),579,704,704.0,30.0 + 55.0 + 30.0 + 10.0
13,0,return,79,79,WS 1 (Port 1),(0;1;6),728,803,803.0,30.0 + 15.0 + 30.0
