mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,183,0,(3;5;2),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,reshuffle,98,0,(3;5;3),(0;2;3),70,160,160.0,30.0 + 30.0 + 30.0
3,2,reshuffle,224,0,(3;5;4),(0;2;2),100,190,190.0,30.0 + 30.0 + 30.0
4,0,target,0,0,(3;5;5),WS 1 (Port 1),160,280,280.0,30.0 + 50.0 + 30.0 + 10.0
5,0,return,0,0,WS 1 (Port 1),(1;0;1),286,361,361.0,30.0 + 15.0 + 30.0
6,1,reshuffle,134,1,(1;3;5),(0;2;1),170,240,240.0,30.0 + 10.0 + 30.0
7,2,target,1,1,(1;3;6),WS 1 (Port 2),200,300,300.0,30.0 + 30.0 + 30.0 + 10.0
8,1,return,1,1,WS 1 (Port 2),(1;0;0),304,391,391.0,30.0 + 27.0 + 30.0
9,2,target,3,3,(2;5;2),WS 1 (Port 1),335,450,450.0,30.0 + 45.0 + 30.0 + 10.0
10,0,return,3,3,WS 1 (Port 1),(0;2;0),456,536,536.0,30.0 + 20.0 + 30.0
11,1,reshuffle,316,5,(1;7;0),(0;3;2),426,511,511.0,30.0 + 25.0 + 30.0
12,2,target,5,5,(1;7;1),WS 1 (Port 1),490,610,610.0,30.0 + 50.0 + 30.0 + 10.0
13,0,return,5,5,WS 1 (Port 1),(1;1;2),618,698,698.0,30.0 + 20.0 + 30.0
14,1,reshuffle,377,7,(2;4;3),(0;3;1),526,601,601.0,30.0 + 15.0 + 30.0
15,1,reshuffle,119,7,(2;4;4),(0;3;0),616,691,691.0,30.0 + 15.0 + 30.0
16,2,reshuffle,185,7,(2;4;5),(0;6;6),646,726,726.0,30.0 + 20.0 + 30.0
17,1,reshuffle,117,7,(2;4;6),(0;6;5),706,786,786.0,30.0 + 20.0 + 30.0
18,0,target,7,7,(2;4;7),WS 1 (Port 1),736,846,846.0,30.0 + 40.0 + 30.0 + 10.0
19,0,return,7,7,WS 1 (Port 1),(1;1;1),852,932,932.0,30.0 + 20.0 + 30.0
20,2,target,27,27,(5;3;0),WS 1 (Port 2),766,886,886.0,30.0 + 50.0 + 30.0 + 10.0
21,1,return,27,27,WS 1 (Port 2),(1;1;0),894,974,974.0,30.0 + 20.0 + 30.0
