mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,316,5,(1;7;0),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,target,5,5,(1;7;1),WS 2 (Port 1),70,195,195.0,30.0 + 55.0 + 30.0 + 10.0
3,0,transfer,5,5,WS 2 (Port 1),WS 1 (Port 1),211,276,276.0,30.0 + 5.0 + 30.0
4,0,return,5,5,WS 1 (Port 1),(1;0;1),302,377,377.0,30.0 + 15.0 + 30.0
5,2,reshuffle,377,7,(2;4;3),(0;2;3),30,160,160.0,30.0 + 70.0 + 30.0
6,2,reshuffle,119,7,(2;4;4),(0;2;2),180,260,260.0,30.0 + 20.0 + 30.0
7,1,reshuffle,185,7,(2;4;5),(0;2;1),230,310,310.0,30.0 + 20.0 + 30.0
8,2,reshuffle,117,7,(2;4;6),(0;2;0),280,360,360.0,30.0 + 20.0 + 30.0
9,1,target,7,7,(2;4;7),WS 2 (Port 1),330,445,445.0,30.0 + 45.0 + 30.0 + 10.0
10,0,transfer,7,7,WS 2 (Port 1),WS 1 (Port 2),455,520,520.0,30.0 + 5.0 + 30.0
11,0,return,7,7,WS 1 (Port 2),(1;0;0),540,615,615.0,30.0 + 15.0 + 30.0
12,2,reshuffle,87,10,(4;3;0),(0;3;2),385,465,465.0,30.0 + 20.0 + 30.0
13,1,reshuffle,204,10,(4;3;1),(0;3;1),485,565,565.0,30.0 + 20.0 + 30.0
14,2,reshuffle,197,10,(4;3;2),(0;3;0),515,595,595.0,30.0 + 20.0 + 30.0
15,1,reshuffle,80,10,(4;3;3),(0;6;6),585,680,680.0,30.0 + 35.0 + 30.0
16,2,reshuffle,253,10,(4;3;4),(0;6;5),615,710,710.0,30.0 + 35.0 + 30.0
17,0,reshuffle,113,10,(4;3;5),(0;6;4),645,740,740.0,30.0 + 35.0 + 30.0
18,1,target,10,10,(4;3;6),WS 2 (Port 1),715,835,835.0,30.0 + 50.0 + 30.0 + 10.0
19,0,return,10,10,WS 2 (Port 1),(1;1;2),843,928,928.0,30.0 + 25.0 + 30.0
20,2,reshuffle,134,1,(1;3;5),(0;6;3),730,810,810.0,30.0 + 20.0 + 30.0
21,2,target,1,1,(1;3;6),WS 1 (Port 1),830,930,930.0,30.0 + 30.0 + 30.0 + 10.0
22,1,return,1,1,WS 1 (Port 1),(1;1;1),938,1018,1018.0,30.0 + 20.0 + 30.0
23,0,reshuffle,47,14,(1;6;5),(0;6;2),953,1018,1018.0,30.0 + 5.0 + 30.0
24,2,reshuffle,161,14,(1;6;6),(0;6;1),983,1048,1048.0,30.0 + 5.0 + 30.0
25,0,target,14,14,(1;6;7),WS 1 (Port 1),1023,1138,1138.0,30.0 + 45.0 + 30.0 + 10.0
26,0,return,14,14,WS 1 (Port 1),(1;1;0),1140,1220,1220.0,30.0 + 20.0 + 30.0
