mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,275,275,(0;4;0),WS 1 (Port 1),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
2,0,return,275,275,WS 1 (Port 1),(1;0;1),136,211,211.0,30.0 + 15.0 + 30.0
3,1,target,79,79,(2;0;1),WS 1 (Port 2),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
4,1,return,79,79,WS 1 (Port 2),(1;0;0),116,241,241.0,30.0 + 65.0 + 30.0
5,2,target,101,101,(1;8;1),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
6,2,return,101,101,WS 1 (Port 2),(0;2;4),186,266,266.0,30.0 + 20.0 + 30.0
7,0,reshuffle,128,188,(3;4;4),(0;2;3),241,326,326.0,30.0 + 25.0 + 30.0
8,1,reshuffle,385,188,(3;4;5),(0;2;2),271,356,356.0,30.0 + 25.0 + 30.0
9,2,reshuffle,334,188,(3;4;6),(0;2;1),301,386,386.0,30.0 + 25.0 + 30.0
10,0,target,188,188,(3;4;7),WS 1 (Port 1),351,466,466.0,30.0 + 45.0 + 30.0 + 10.0
11,0,return,188,188,WS 1 (Port 1),(0;2;0),470,550,550.0,30.0 + 20.0 + 30.0
