mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,150,24,(1;4;0),(0;2;4),25,100,100.0,30.0 + 15.0 + 30.0
2,1,reshuffle,35,24,(1;4;1),(0;2;3),55,130,130.0,30.0 + 15.0 + 30.0
3,2,target,24,24,(1;4;2),WS 1 (Port 1),85,190,190.0,30.0 + 35.0 + 30.0 + 10.0
4,0,return,24,24,WS 1 (Port 1),(1;0;1),206,281,281.0,30.0 + 15.0 + 30.0
5,1,reshuffle,87,10,(4;3;0),(0;2;2),155,240,240.0,30.0 + 25.0 + 30.0
6,2,reshuffle,204,10,(4;3;1),(0;2;1),225,310,310.0,30.0 + 25.0 + 30.0
7,1,reshuffle,197,10,(4;3;2),(0;2;0),265,350,350.0,30.0 + 25.0 + 30.0
8,0,reshuffle,80,10,(4;3;3),(0;3;2),311,391,391.0,30.0 + 20.0 + 30.0
9,2,reshuffle,253,10,(4;3;4),(0;3;1),341,421,421.0,30.0 + 20.0 + 30.0
10,1,reshuffle,113,10,(4;3;5),(0;3;0),375,455,455.0,30.0 + 20.0 + 30.0
11,0,target,10,10,(4;3;6),WS 2 (Port 1),411,531,531.0,30.0 + 50.0 + 30.0 + 10.0
12,0,transfer,10,10,WS 2 (Port 1),WS 1 (Port 2),571,636,636.0,30.0 + 5.0 + 30.0
13,0,return,10,10,WS 1 (Port 2),(1;0;0),686,761,761.0,30.0 + 15.0 + 30.0
14,2,reshuffle,3,11,(2;5;2),(0;6;6),441,516,516.0,30.0 + 15.0 + 30.0
15,1,reshuffle,361,11,(2;5;3),(0;6;5),475,550,550.0,30.0 + 15.0 + 30.0
16,2,reshuffle,42,11,(2;5;4),(0;6;4),531,606,606.0,30.0 + 15.0 + 30.0
17,1,target,11,11,(2;5;5),WS 2 (Port 1),565,685,685.0,30.0 + 50.0 + 30.0 + 10.0
18,1,return,11,11,WS 2 (Port 1),(1;1;2),689,774,774.0,30.0 + 25.0 + 30.0
